date,inflation_mom
2023-01,0.34
2023-02,0.16
2023-03,0.18
2023-04,0.33
2023-05,0.09
2023-06,0.14
2023-07,0.21
2023-08,-0.02
2023-09,0.19
2023-10,0.17
2023-11,0.38
2023-12,0.41
2024-01,0.04
2024-02,0.37
2024-03,0.52
2024-04,0.25
2024-05,-0.03
2024-06,-0.08
2024-07,-0.18
2024-08,-0.03
2024-09,-0.12
2024-10,0.08
2024-11,0.3
2024-12,0.44
2025-01,-0.76
2025-02,-0.48
2025-03,1.65
2025-04,1.17
2025-05,-0.37
2025-06,0.19
2025-07,0.3
2025-08,-0.08
2025-09,0.21
2025-10,0.28
2025-11,0.17
